바아, 79, 143
다마, 85, 191
아마, 41, 156
가마, 45, 153
하다, 96, 174
바나, 59, 155
가타, 96, 189
마다, 79, 163
타차, 83, 192
가하, 82, 186
마자, 83, 191
바차, 55, 164
파파, 96, 144
마마, 59, 173
하카, 74, 172
타라, 82, 174
마카, 88, 185
사카, 69, 173
마바, 78, 144
파라, 95, 147
바하, 74, 182
나파, 45, 152
가하, 77, 187
바하, 71, 199
하하, 51, 155
파나, 44, 183
카바, 60, 198
카차, 97, 191
카타, 90, 151
바타, 62, 179
바타, 64, 167
마다, 99, 185
라차, 43, 174
차나, 69, 162
아마, 75, 186
가마, 40, 163
나하, 93, 142
자카, 94, 194
나바, 97, 152
사타, 79, 167
차파, 47, 143
가나, 45, 168
라타, 82, 146
나차, 68, 176
타하, 42, 193
나바, 87, 184
자타, 46, 145
라하, 61, 161
차자, 54, 153
다마, 85, 184
타파, 62, 147
자차, 61, 193
타바, 77, 152
사다, 82, 141
바나, 85, 156
바카, 48, 174
타자, 68, 153
사타, 58, 185
아카, 78, 167
자아, 92, 188
사자, 70, 147
라나, 62, 141
파타, 56, 151
가마, 84, 143
바카, 92, 194
바자, 56, 146
차하, 40, 188
하라, 79, 158
가사, 46, 149
사바, 71, 176
사자, 95, 187
차하, 63, 181
자바, 40, 143
하라, 48, 179
자다, 91, 166
사차, 48, 155
라카, 88, 174
나다, 81, 160
가나, 62, 164
하타, 91, 143
하마, 53, 188
다가, 40, 181
카타, 88, 195
파자, 97, 167
차아, 81, 197
아파, 43, 155
다카, 84, 176
가아, 61, 185
라아, 75, 147
카바, 82, 147
라카, 68, 193
가타, 49, 169
사타, 53, 199
파바, 41, 178
타타, 76, 195
파나, 58, 166
카나, 72, 171
자파, 46, 192
다자, 97, 166
자가, 60, 158
하다, 67, 194
차다, 48, 147
파타, 90, 156
사차, 46, 154
다가, 43, 192
파다, 57, 151
아다, 40, 175
바아, 70, 185
파다, 63, 164
파나, 70, 172
다사, 77, 186
라마, 56, 154
사바, 84, 151
바다, 56, 164
차다, 82, 162
아다, 67, 152
하파, 68, 153
하가, 42, 144
자하, 76, 166
라자, 44, 182
하아, 84, 187
카아, 60, 188
나타, 43, 167
사자, 71, 173
파마, 52, 188
파카, 68, 155
바다, 59, 150
나바, 53, 184
자다, 40, 178
마하, 87, 140
다자, 60, 164
자바, 89, 156
나나, 90, 165
다라, 43, 174
바차, 74, 164
차하, 77, 157
사하, 47, 148
카마, 94, 184
아카, 62, 146
마하, 50, 191
바타, 95, 197
아카, 94, 160
바나, 90, 148
가차, 97, 163
라아, 68, 187
파다, 60, 165
가파, 55, 191
사사, 77, 152
가파, 45, 175
파카, 75, 156
마타, 61, 158
자파, 40, 164
하하, 63, 164
바아, 40, 174
마하, 77, 152
하파, 64, 198
나아, 53, 144
자나, 69, 172
가다, 51, 179
바파, 42, 146
가파, 66, 161
아바, 91, 156
가파, 43, 148
나타, 65, 197
파타, 59, 158
하파, 85, 187
바라, 70, 183
아사, 40, 158
나다, 98, 175
바바, 40, 194
차사, 63, 177
자사, 41, 182
카바, 65, 163
차마, 87, 154
하라, 41, 199
다다, 86, 152
바라, 64, 174
파하, 78, 198
나차, 64, 172
카타, 76, 145
파자, 53, 196
라타, 59, 153
바파, 59, 178
자카, 53, 167
나마, 59, 192
타마, 72, 174
차하, 66, 174
파아, 51, 156
라카, 64, 172
나자, 41, 141
가카, 55, 183
자카, 86, 183
타아, 44, 175
라라, 87, 184
하다, 56, 192
하라, 73, 181
아마, 63, 152
아사, 49, 145
자라, 50, 193
카카, 79, 170
사사, 68, 161
바가, 82, 173
카마, 48, 145
다다, 88, 146
타자, 42, 159
카파, 84, 155
아파, 48, 199
카가, 47, 152
하아, 44, 145
아파, 52, 194
자나, 48, 143
나자, 41, 142
카자, 56, 141
마사, 60, 199
파라, 67, 190
가하, 82, 155
마자, 92, 178
다자, 59, 147
사차, 51, 199
자가, 51, 158
자카, 51, 152
아다, 57, 144
다카, 49, 158
나카, 93, 184
타타, 78, 199
사타, 43, 158
사타, 65, 187
사자, 66, 164
자자, 45, 188
다차, 98, 170
카자, 79, 189
아아, 69, 155
파자, 98, 188
마타, 92, 170
다라, 65, 141
라파, 42, 174
차아, 64, 158
파라, 73, 177
사나, 44, 174
아하, 63, 189
아파, 86, 169
자다, 60, 163
나바, 63, 140
나차, 62, 190
사타, 43, 196
타자, 96, 187
아아, 83, 176
라차, 83, 198
마라, 55, 195
사아, 47, 168
하타, 62, 188
파라, 46, 197
차자, 44, 141
하라, 73, 154
사파, 92, 147
라바, 91, 150
카바, 41, 164
카카, 81, 194
차아, 50, 191
마마, 72, 196
라마, 95, 180
자바, 43, 140
하자, 77, 185
나자, 99, 171
파하, 74, 198
사나, 50, 163
차아, 79, 178
라자, 99, 184
다다, 53, 185
하다, 87, 189
하타, 64, 187
차차, 93, 156
자사, 83, 141
타파, 49, 141
마자, 88, 177
나바, 48, 151
나가, 48, 179
카타, 48, 176
다나, 42, 147
다다, 83, 167
마마, 73, 145
다바, 53, 175
아다, 92, 143
하나, 40, 165
사카, 42, 186
다차, 66, 149
차가, 78, 168
다아, 62, 149
타마, 68, 188
마자, 43, 174
사마, 59, 146
타하, 52, 182
차파, 74, 198
다타, 90, 177
카차, 47, 156
라사, 40, 148
나마, 93, 172
마아, 63, 187
마다, 61, 157
바파, 94, 148
아바, 52, 179
파나, 53, 190
타바, 49, 171
하아, 87, 185
사라, 70, 188
나다, 80, 172
다자, 63, 157
하카, 73, 172
타하, 61, 178
아가, 96, 168
카다, 51, 149
라파, 98, 182
카자, 69, 194
카아, 97, 152
바다, 77, 175
가하, 97, 193
자파, 49, 189
바다, 41, 198
파라, 72, 145
아가, 55, 167
파나, 75, 140
나파, 53, 148
아다, 90, 151
나나, 78, 176
라하, 96, 160
하가, 71, 146
타라, 96, 182
사하, 52, 181
바자, 47, 176
자라, 69, 197
아다, 74, 194
자가, 51, 141
사마, 93, 173
바사, 40, 153
바마, 51, 173
마아, 86, 189
타타, 46, 167
라타, 97, 154
파차, 81, 198
타타, 63, 192
하라, 63, 163
바파, 55, 148
차나, 67, 160
마카, 86, 179
차하, 77, 164
라다, 68, 192
다타, 41, 164
다바, 64, 192
라차, 89, 161
나하, 97, 169
타사, 58, 191
나차, 59, 181
라마, 66, 187
라아, 73, 153
가차, 80, 154
바아, 71, 151
차나, 42, 190
하가, 77, 155
가사, 64, 181
다사, 66, 146
카아, 47, 173
자자, 95, 178
사아, 72, 149
아타, 88, 156
파가, 82, 169
다아, 68, 176
자차, 80, 164
마카, 90, 159
아파, 47, 149
가카, 68, 175
카라, 59, 161
카카, 48, 195
아다, 83, 144
차바, 51, 193
타카, 42, 156
카파, 92, 169
다다, 58, 174
나라, 74, 153
나카, 49, 141
사자, 44, 156
아차, 71, 181
자하, 88, 194
파라, 78, 185
바자, 41, 159
차타, 62, 175
나바, 55, 185
바마, 72, 156
나라, 82, 174
나차, 84, 151
바다, 47, 155
다나, 66, 144
타라, 45, 193
카차, 46, 170
마가, 44, 183
하차, 83, 196
자차, 86, 151
바차, 48, 145
차파, 78, 175
차자, 61, 198
사마, 50, 152
마타, 52, 181
차나, 67, 149
카자, 49, 173
차가, 76, 153
파바, 47, 190
라하, 58, 188
자파, 68, 160
마카, 78, 195
사타, 63, 157
자라, 72, 169
타카, 73, 164
카바, 72, 164
라마, 91, 179
아라, 52, 167
자사, 98, 194
차자, 78, 179
카파, 94, 187
나파, 61, 147
타라, 99, 164
카마, 96, 190
파아, 53, 152
라아, 95, 186
가차, 97, 150
차차, 75, 183
라타, 44, 149
카나, 47, 194
가아, 83, 153
가사, 97, 167
다파, 95, 178
라카, 48, 181
바라, 90, 154
다차, 68, 187
다자, 45, 143
라가, 85, 164
사가, 75, 172
마나, 89, 180
파가, 57, 182
다차, 67, 193
차가, 58, 174
다타, 91, 150
차나, 53, 144
나가, 54, 144
라사, 47, 190
타아, 41, 148
자카, 67, 171
나라, 72, 152
파차, 85, 150
사파, 86, 166
하사, 84, 146
카아, 70, 197
파하, 77, 155
다파, 81, 147
차카, 44, 176
카라, 71, 146
차마, 52, 187
사하, 58, 143
자차, 82, 169
차다, 76, 163
타타, 91, 171
다사, 82, 165
다가, 64, 187
바아, 97, 153
다타, 47, 147
사다, 63, 199
라자, 96, 151
자차, 57, 155
라차, 71, 160
자하, 69, 199
라파, 41, 155
파자, 73, 154
카가, 69, 156
가차, 41, 159
가마, 84, 157
아차, 98, 178
라나, 47, 191
파가, 89, 163
마아, 67, 149
아카, 79, 161
마타, 54, 191
마마, 80, 183
사다, 61, 163
다하, 88, 140
자하, 44, 180
라차, 88, 148
나카, 95, 172
나다, 66, 140
차마, 81, 154
나파, 41, 155
마차, 41, 163
카다, 76, 156
카마, 89, 180
다라, 95, 197
카차, 71, 195
하자, 97, 154
가사, 96, 157
하가, 76, 164
타파, 98, 166
카가, 41, 182
다자, 44, 178
바자, 79, 183
가차, 59, 153
나카, 74, 152
사타, 90, 167
차사, 69, 197
라가, 53, 160
카자, 44, 142
나파, 93, 151
파타, 56, 158
아차, 77, 152
나하, 75, 187
나하, 61, 180
가차, 69, 184
파아, 52, 196
차차, 89, 153
나가, 48, 145
바파, 79, 168
사카, 90, 149
나하, 81, 181
차자, 77, 141
타마, 66, 186
나차, 90, 140
카바, 82, 172
마사, 54, 199
타바, 72, 190
나자, 95, 190
차바, 95, 193
마바, 43, 153
라마, 85, 171
아바, 90, 153
타파, 56, 153
차바, 71, 186
사다, 81, 154
타아, 66, 148
마나, 91, 191
마카, 76, 146
마파, 57, 146
다사, 41, 194
다파, 72, 187
바마, 78, 146
하아, 57, 180
라카, 95, 195
파카, 95, 183
하나, 85, 166
다라, 83, 192
타가, 99, 182
마하, 80, 146
타가, 84, 145
아바, 82, 168
타마, 55, 176
아카, 73, 154
마바, 91, 154
파자, 81, 175
타파, 88, 197
타나, 92, 198
사마, 58, 169
하파, 50, 183
나다, 51, 152
자자, 83, 145
타하, 41, 141
아파, 67, 164
자가, 95, 146
나하, 81, 184
바바, 55, 164
타가, 51, 191
마타, 65, 196
바다, 45, 172
다자, 75, 193
타파, 76, 177
카아, 85, 188
파가, 97, 143
바하, 83, 168
아자, 93, 181
파파, 98, 158
파아, 68, 144
가타, 52, 178
사사, 74, 194
하아, 59, 191
파카, 93, 154
카사, 77, 156
바타, 56, 179
자차, 72, 142
자바, 94, 173
가카, 96, 144
자파, 41, 169
하아, 72, 155
하마, 56, 165
바타, 70, 186
하다, 53, 182
차자, 87, 185
자라, 91, 182
나파, 97, 183
하마, 57, 192
바바, 94, 144
마마, 63, 165
바자, 65, 143
라마, 42, 145
마카, 77, 199
바가, 84, 182
사타, 98, 156
다아, 93, 169
라자, 76, 169
카카, 44, 197
아차, 87, 184
가다, 48, 146
바라, 58, 179
나마, 46, 184
타하, 91, 183
바가, 73, 185
다마, 48, 198
가나, 77, 171
사바, 49, 144
차아, 55, 165
다아, 98, 181
라타, 42, 140
가타, 88, 147
카마, 90, 149
파카, 49, 150
타사, 40, 157
바가, 95, 187
파자, 79, 163
사나, 42, 154
하자, 53, 158
